day,S,L,A,R
351,3949.9739394826315,4753.103666295221,195.41501229304657,1101.5073819290997
352,3930.6768343341014,4766.654343471694,195.29898989631187,1107.369832297891
353,3911.4854039502443,4780.1070666918895,195.17872736308408,1113.2288019947803
354,3892.399435369187,4793.462075745773,195.0543250693653,1119.0841638156728
355,3873.418701750029,4806.71962207661,194.9258826056055,1124.9357935677538
356,3854.542962771537,4819.879968435082,194.7934987474571,1130.783570045922
357,3835.7719650267704,4832.943388537074,194.6572714278094,1136.6273750083458
358,3817.1054424134854,4845.9101667252435,194.5172977100901,1142.46709315118
359,3798.5431165201667,4858.78059763453,194.37367376282035,1148.3026120824827
360,3780.084697007554,4871.55498586167,194.22649483540832,1154.1338222953673
361,3761.7298819855355,4884.233645638868,194.07585523516588,1159.9606171404296
362,3743.478358385285,4896.816900511698,193.9218483055318,1165.7828927974845
363,3725.3298023265393,4909.305083021324,193.76456640548474,1171.6005482466503
364,3707.2838794799086,4921.698534391147,193.60410089012763,1177.413485238815
365,3689.340245424129,4933.997604217925,193.44054209242535,1183.2216082655189
